City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-11-08 03:25:04,-53.15,-70.9167,50.11,71,0,14.97
1,Yellowknife,CA,2022-11-08 03:24:05,62.456,-114.3525,5.56,85,75,0.0
2,Port Alfred,ZA,2022-11-08 03:28:48,-33.5906,26.891,62.19,89,100,3.0
3,Monzon,ES,2022-11-08 03:28:49,41.9108,0.1941,56.62,61,21,3.85
4,Constitucion,CL,2022-11-08 03:27:12,-35.3333,-72.4167,55.24,77,99,8.32
5,Arlit,NE,2022-11-08 03:28:49,18.7369,7.3853,69.67,22,35,7.74
6,Jumla,NP,2022-11-08 03:28:49,29.2747,82.1838,54.12,36,0,1.01
7,Ajdabiya,LY,2022-11-08 03:28:50,30.7554,20.2263,64.0,77,0,5.48
8,Mataura,NZ,2022-11-08 03:28:50,-46.1927,168.8643,65.48,43,85,3.24
9,Shelburne,CA,2022-11-08 03:28:50,44.0787,-80.2041,38.3,87,51,12.39
10,Neiafu,TO,2022-11-08 03:27:10,-18.65,-173.9833,83.08,65,20,9.22
11,Hailar,CN,2022-11-08 03:24:20,49.2,119.7,30.6,63,12,8.12
12,Cape Town,ZA,2022-11-08 03:25:01,-33.9258,18.4232,57.9,90,0,4.61
13,Damietta,EG,2022-11-08 03:28:51,31.4165,31.8133,69.46,67,68,13.18
14,Ushuaia,AR,2022-11-08 03:27:08,-54.8,-68.3,55.02,54,20,5.75
15,Hermanus,ZA,2022-11-08 03:28:52,-34.4187,19.2345,58.69,86,62,6.4
16,Butaritari,KI,2022-11-08 03:28:52,3.0707,172.7902,80.55,73,17,4.59
17,Dikson,RU,2022-11-08 03:28:52,73.5069,80.5464,6.22,95,98,7.52
18,Saint-Philippe,RE,2022-11-08 03:28:53,-21.3585,55.7679,76.59,77,14,7.45
19,Longyearbyen,SJ,2022-11-08 03:28:53,78.2186,15.6401,22.84,80,75,11.5
20,Abu Samrah,SY,2022-11-08 03:28:54,35.3029,37.1841,55.44,84,100,2.42
21,Palmer,US,2022-11-08 03:28:54,42.1584,-72.3287,54.01,45,0,6.91
22,Albany,US,2022-11-08 03:28:54,42.6001,-73.9662,48.63,58,4,1.99
23,Bengkulu,ID,2022-11-08 03:26:50,-3.8004,102.2655,77.79,83,100,2.82
24,Castro,BR,2022-11-08 03:28:55,-24.7911,-50.0119,48.42,98,3,5.01
25,Victoria,HK,2022-11-08 03:27:48,22.2855,114.1577,76.24,84,94,8.99
26,East London,ZA,2022-11-08 03:27:46,-33.0153,27.9116,65.34,88,75,13.8
27,General Roca,AR,2022-11-08 03:28:55,-39.0333,-67.5833,79.63,57,58,8.23
28,Thompson,CA,2022-11-08 03:28:55,55.7435,-97.8558,-11.04,84,0,3.44
29,Najran,SA,2022-11-08 03:26:46,17.4924,44.1277,57.85,33,0,4.05
30,Bambous Virieux,MU,2022-11-08 03:28:56,-20.3428,57.7575,77.22,73,40,8.05
31,Akureyri,IS,2022-11-08 03:25:42,65.6835,-18.0878,40.93,75,100,8.05
32,Atuona,PF,2022-11-08 03:28:57,-9.8,-139.0333,77.13,71,99,15.03
33,Zhigansk,RU,2022-11-08 03:28:57,66.7697,123.3711,-6.59,92,100,7.34
34,Khromtau,KZ,2022-11-08 03:28:57,50.2503,58.4347,19.62,91,94,10.8
35,Barrow,US,2022-11-08 03:28:58,71.2906,-156.7887,26.62,80,100,24.16
36,Busselton,AU,2022-11-08 03:28:58,-33.65,115.3333,68.36,55,90,6.6
